id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45216115,PPAYITR1XXX,Postepay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,14.30,2026-03-15T00:00:00.000,solleciti
45216114,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,194.43,2026-03-15T00:00:00.000,Tassa Auto
45216113,BCITITMM,Intesa Sanpaolo S.p.A,97165140159,Collegio Regionale Guide Alpine Lombardia,23100,SO,1500.00,2026-03-15T00:00:00.000,rata_corso_amm
45216112,ABI08453,BANCA DI CREDITO COOPERATIVO DI MILANO S.c.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.10,2026-03-15T00:00:00.000,solleciti
45216111,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,23.00,2026-03-15T00:00:00.000,Licenza di Pesca
45216110,BPMOIT22,BPER Banca S.p.A.,80008750178,Provincia di Brescia,25121,BS,44.40,2026-03-15T00:00:00.000,os_verbali_pp
45216109,BCITITMM,Intesa Sanpaolo S.p.A,80018470171,Comune di Roncadelle,25030,BS,182.43,2026-03-15T00:00:00.000,mg_scuola_nido_cedepp
45216108,BCITITMM,Intesa Sanpaolo S.p.A,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,25.40,2026-03-15T00:00:00.000,TICKET_SANITARIO
45216107,ABI08575,BCC AGROBRESCIANO SOC. COOP.,00761890177,Comune di Brescia,25121,BS,29.40,2026-03-15T00:00:00.000,ts_sanamm
45216106,WOLLNLB1,Worldpay BV,80005370137,Comune di Como,22100,CO,29.40,2026-03-15T00:00:00.000,meg_violazioni_cds
45216085,ABI02008,Unicredit S.p.A,00761890177,Comune di Brescia,25121,BS,60.90,2026-03-15T00:00:00.000,ts_sanamm
45216084,POSOIT22XXX,Banca Popolare di Sondrio,80025260201,Comune di Gazoldo degli Ippoliti,46040,MN,35.00,2026-03-15T00:00:00.000,nv_mensascolastica
45216083,BPMOIT22,BPER Banca S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.30,2026-03-15T00:00:00.000,solleciti
45216082,ABI02008,Unicredit S.p.A,00761890177,Comune di Brescia,25121,BS,29.40,2026-03-15T00:00:00.000,ts_sanamm
