id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45953230,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.70,2026-04-12T00:00:00.000,solleciti
45953229,ABI03475,ING BANK N.V.,09321970965,ASST Santi Paolo e Carlo,20142,MI,30.50,2026-04-12T00:00:00.000,TICKET_SANITARIO
45953228,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,141.90,2026-04-12T00:00:00.000,Tassa Auto
45953227,UNCRITMM,UniCredit S.p.A.,80050050154,Regione Lombardia,20124,MI,23.00,2026-04-12T00:00:00.000,Licenza di Pesca
45953226,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,89.81,2026-04-12T00:00:00.000,Tassa Auto
45953225,ABI07076,BANCA CREMASCA E MANTOVANA,80008750178,Provincia di Brescia,25121,BS,54.20,2026-04-12T00:00:00.000,os_verbali_pp
45953224,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,16.00,2026-04-12T00:00:00.000,MARCA_BOLLO_VIRTUALE_001
45953218,UNCRITMM,UniCredit S.p.A.,09319690963,ASST Fatebenefratelli Sacco,20157,MI,15.00,2026-04-12T00:00:00.000,ASST703_TASSACONCORSO
45953217,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,232.20,2026-04-12T00:00:00.000,Tassa Auto
45953216,BNLIITRR,Worldline,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,17.90,2026-04-12T00:00:00.000,TICKET_SANITARIO
45953215,ABI05387,BPER,02613080189,ASST di Pavia,27100,PV,36.00,2026-04-12T00:00:00.000,TICKET_SANITARIO
45953214,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,234.78,2026-04-12T00:00:00.000,Tassa Auto
45953213,SELBIT2B,Banca Sella S.p.A.,01629350198,ASST di Crema,26013,CR,36.00,2026-04-12T00:00:00.000,TICKET_SANITARIO
