id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45144132,ABI03385,Isy Bank S.p.A.,00634160170,Comune di Rezzato,25086,BS,61.00,2026-03-12T09:00:00.000,in_violazione_cds
45144130,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,56.38,2026-03-12T09:00:00.000,Tassa Auto
45144123,PPAYITR1XXX,Postepay,02613260187,ATS di Pavia,27100,PV,7.14,2026-03-12T09:00:00.000,ATS328_ALTRE_S
45144113,BIC32698,LIS Pay SPA,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.27,2026-03-12T09:00:00.000,solleciti
45144112,BCITITMM,Intesa Sanpaolo S.p.A,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,25.00,2026-03-12T09:00:00.000,PRENOTA_SALUTE
45144111,WOLLNLB1,Worldpay BV,00430660134,Comune di Erba,22036,CO,120.00,2026-03-12T09:00:00.000,pd_mensascolastica
45144110,IFSPIT21,ICONTO srl,80050050154,Regione Lombardia,20124,MI,16.00,2026-03-12T09:00:00.000,MARCA_BOLLO_DIGITALE
45144109,ABI08453,BANCA DI CREDITO COOPERATIVO DI MILANO S.c.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.80,2026-03-12T09:00:00.000,solleciti
45144108,BIC32698,LIS Pay SPA,00761890177,Comune di Brescia,25121,BS,44.81,2026-03-12T09:00:00.000,ts_sanamm
45144107,BIC32698,LIS Pay SPA,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,30.00,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144106,POSOIT22XXX,Banca Popolare di Sondrio,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.38,2026-03-12T09:00:00.000,solleciti
45144105,SATYLUL1,Satispay,00297960197,Comune di Cremona,26100,CR,32.00,2026-03-12T09:00:00.000,permpermanenti
45144102,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,346.48,2026-03-12T09:00:00.000,RL_BIL_PAGOPAPOST
45144101,PPAYITR1XXX,Postepay,00182090183,A.L.E.R. DI PAVIA-LODI,27100,PV,356.07,2026-03-12T09:00:00.000,ALER_PV
45144100,ABI05034,Banco BPM S.p.A.,00761890177,Comune di Brescia,25121,BS,40.00,2026-03-12T09:00:00.000,arc_concsalanord
45144099,BCITITMM,Intesa Sanpaolo S.p.A,03510190121,ASST Valle Olona,21052,VA,20.80,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144098,ABI03385,Isy Bank S.p.A.,00761890177,Comune di Brescia,25121,BS,44.89,2026-03-12T09:00:00.000,ts_sanamm
45144097,BAPPIT21,Banca Popolare di Milano SpA,09323530965,ASST Rhodense,20024,MI,72.00,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144096,BNLIITRR,Worldline,80050050154,Regione Lombardia,20124,MI,271.97,2026-03-12T09:00:00.000,Tassa Auto
45144095,ABI08440,BCC DI CARATE BRIANZA,00801220153,Comune di Bollate,20021,MI,65.00,2026-03-12T09:00:00.000,dirittisegreteria
45144093,MOONITMMXXX,MOONEY S.P.A.,02481840201,ASST di Mantova,46100,MN,122.00,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144092,MOONITMMXXX,MOONEY S.P.A.,01310880156,Comune di Abbiategrasso,20081,MI,104.70,2026-03-12T09:00:00.000,violazionecodicestrada
45144091,MOONITMMXXX,MOONEY S.P.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,11.50,2026-03-12T09:00:00.000,solleciti
45144090,ABI03069,Intesa Sanpaolo S.p.A,09319690963,ASST Fatebenefratelli Sacco,20157,MI,25.00,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144089,BPMOIT22,BPER Banca S.p.A.,80050050154,Regione Lombardia,20124,MI,19.00,2026-03-12T09:00:00.000,Tassa Auto
45144088,POSOIT22XXX,Banca Popolare di Sondrio,02481970206,ATS della Val Padana,46100,MN,8.54,2026-03-12T09:00:00.000,ATS327_LIB_VET
45144086,BIC32698,LIS Pay SPA,02481840201,ASST di Mantova,46100,MN,36.00,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144085,BIC32698,LIS Pay SPA,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,12.40,2026-03-12T09:00:00.000,solleciti
45144084,PPAYITR1XXX,Postepay,03622110132,ASST Lariana,22100,CO,50.00,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144083,MOONITMMXXX,MOONEY S.P.A.,03510050127,ASST Dei Sette Laghi,21100,VA,36.00,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144082,ABI36964,BCC PAY S.p.A.,09319650967,ASST Ovest Milanese,20025,MI,12.60,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144080,MOONITMMXXX,MOONEY S.P.A.,01009620152,Comune di Marcallo con Casone,20010,MI,100.00,2026-03-12T09:00:00.000,pj_mensascolastica
45144079,BPPIITRRXXX,Poste Italiane S.p.A.,80050050154,Regione Lombardia,20124,MI,64.56,2026-03-12T09:00:00.000,Concessione regionale abilitazione caccia
45144078,ABI03385,Isy Bank S.p.A.,00634160170,Comune di Rezzato,25086,BS,269.00,2026-03-12T09:00:00.000,in_violazione_cds
45144077,BIC32698,LIS Pay SPA,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.59,2026-03-12T09:00:00.000,solleciti
45144076,PPAYITR1XXX,Postepay,80050050154,Regione Lombardia,20124,MI,267.18,2026-03-12T09:00:00.000,RL_BIL_PAGOPAPOST
45144074,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.59,2026-03-12T09:00:00.000,solleciti
45144073,BCITITMM,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,80.00,2026-03-12T09:00:00.000,ads_mensa_scolastica
45144072,LB000484,Revolut Payments UAB,00308240126,Comune di Travedona Monate,21028,VA,78.00,2026-03-12T09:00:00.000,ce_mensascolastica
45144071,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,315.39,2026-03-12T09:00:00.000,Tassa Auto
45144070,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,135.73,2026-03-12T09:00:00.000,Tassa Auto
45144069,CIPBITMM,Nexi,80018230153,Fondazione Irccs Istituto Nazionale Dei Tumori,20133,MI,182.00,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144067,PPAYITR1XXX,Postepay,85001810184,Comune di Garlasco,27026,PV,139.85,2026-03-12T09:00:00.000,in_violazione_cds
45144065,ABI08430,CASSA RURALE ED ARTIGIANA DI CANTU' BCC SOC. COOP.,00625920137,Comune di Bregnano,22070,CO,5242.97,2026-03-12T09:00:00.000,onurb
45144064,ABI08922,BANCA ALTA TOSCANA C.C .- S.C.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.70,2026-03-12T09:00:00.000,solleciti
45144063,ABI03069,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,129.11,2026-03-12T09:00:00.000,RL_AMB_DOC_NOT
45144062,ABI03069,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,129.11,2026-03-12T09:00:00.000,RL_AMB_DOC_NOT
45144061,ABI03069,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,129.11,2026-03-12T09:00:00.000,RL_AMB_DOC_NOT
45144060,ABI03069,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,129.11,2026-03-12T09:00:00.000,RL_AMB_DOC_NOT
45144059,ABI03069,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,129.11,2026-03-12T09:00:00.000,RL_AMB_DOC_NOT
45144058,PPAYITR1XXX,Postepay,00945980175,Comune di Gussago,25064,BS,197.49,2026-03-12T09:00:00.000,in_violazione_cds
45144057,PPAYITR1XXX,Postepay,00945980175,Comune di Gussago,25064,BS,197.49,2026-03-12T09:00:00.000,in_violazione_cds
45144056,PPAYITR1XXX,Postepay,00945980175,Comune di Gussago,25064,BS,197.49,2026-03-12T09:00:00.000,in_violazione_cds
45144055,PPAYITR1XXX,Postepay,00945980175,Comune di Gussago,25064,BS,117.49,2026-03-12T09:00:00.000,in_violazione_cds
45144053,PPAYITR1XXX,Postepay,00945980175,Comune di Gussago,25064,BS,72.49,2026-03-12T09:00:00.000,in_violazione_cds
45144052,PPAYITR1XXX,Postepay,00945980175,Comune di Gussago,25064,BS,357.49,2026-03-12T09:00:00.000,in_violazione_cds
45144051,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,292.49,2026-03-12T09:00:00.000,Tassa Auto
45144050,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.20,2026-03-12T09:00:00.000,solleciti
45144049,SATYLUL1,Satispay,00464720176,Comune di Castenedolo,25014,BS,52.20,2026-03-12T09:00:00.000,dt_mensascolastica
45144048,SATYLUL1,Satispay,00464720176,Comune di Castenedolo,25014,BS,96.00,2026-03-12T09:00:00.000,dt_mensascolastica
45144047,PPAYITR1XXX,Postepay,83504230158,Comune di Pozzuolo Martesana,20060,MI,9.00,2026-03-12T09:00:00.000,sm_cu_os
45144046,PPAYITR1XXX,Postepay,83504230158,Comune di Pozzuolo Martesana,20060,MI,9.00,2026-03-12T09:00:00.000,sm_cu_os
45144045,LB000484,Revolut Payments UAB,00308240126,Comune di Travedona Monate,21028,VA,90.00,2026-03-12T09:00:00.000,ce_prescuola
45144044,BAPPIT21,Banca Popolare di Milano SpA,09323530965,ASST Rhodense,20024,MI,26.20,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144043,ABI03069,Intesa Sanpaolo S.p.A,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,7.00,2026-03-12T09:00:00.000,ATS321_VET_SCIA
45144042,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,9.60,2026-03-12T09:00:00.000,pedaggi
45144041,UNCRITMM,UniCredit S.p.A.,00761890177,Comune di Brescia,25121,BS,47.00,2026-03-12T09:00:00.000,ts_sanamm
45144040,ABI03069,Intesa Sanpaolo S.p.A,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,25.40,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144039,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,01310880156,Comune di Abbiategrasso,20081,MI,15.40,2026-03-12T09:00:00.000,dircimit
45144038,BAPPIT21,Banca Popolare di Milano SpA,09323530965,ASST Rhodense,20024,MI,17.90,2026-03-12T09:00:00.000,TICKET_SANITARIO
45144037,ABI03069,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,242.46,2026-03-12T09:00:00.000,RL_BIL_PAGOPAPOST
45144036,WOLLNLB1,Worldpay BV,02030880153,Comune di Monza,20900,MI,73.00,2026-03-12T09:00:00.000,canpubtemp
45144035,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.70,2026-03-12T09:00:00.000,solleciti
45144034,ABI36964,BCC PAY S.p.A.,00297960197,Comune di Cremona,26100,CR,22.00,2026-03-12T09:00:00.000,emiss_cie
45144033,ABI02008,Unicredit S.p.A,03622110132,ASST Lariana,22100,CO,36.00,2026-03-12T09:00:00.000,TICKET_SANITARIO
