id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45668358,CIPBITMM,Nexi,09322180960,ASST di Lodi,26900,LO,30.50,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668357,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,96.20,2026-04-01T00:00:00.000,Tassa Auto
45668356,CIPBITMM,Nexi,09321970965,ASST Santi Paolo e Carlo,20142,MI,26.20,2026-04-01T00:00:00.000,PRENOTA_SALUTE
45668355,ABI05034,Banco BPM S.p.A.,03510190121,ASST Valle Olona,21052,VA,25.00,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668354,MOONITMMXXX,MOONEY S.P.A.,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,17.90,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668353,MOONITMMXXX,MOONEY S.P.A.,85001870188,Comune di Vigevano,27029,PV,76.09,2026-04-01T00:00:00.000,ts_verbali_cds
45668352,CIPBITMM,Nexi,01629350198,ASST di Crema,26013,CR,30.30,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668351,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,134.44,2026-04-01T00:00:00.000,Tassa Auto
45668350,SATYLUL1,Satispay,09319650967,ASST Ovest Milanese,20025,MI,26.20,2026-04-01T00:00:00.000,PRENOTA_SALUTE
45668349,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,209.24,2026-04-01T00:00:00.000,RL_BIL_PAGOPAPOST
45668348,MOONITMMXXX,MOONEY S.P.A.,04114450168,ASST di Bergamo Ovest,24047,BG,36.00,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668347,BPMOIT22,BPER Banca S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,14.12,2026-04-01T00:00:00.000,solleciti
45668346,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,65.79,2026-04-01T00:00:00.000,Tassa Auto
45668345,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,09320650964,ASST Melegnano e della Martesana,20070,MI,25.00,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668344,ABI02008,Unicredit S.p.A,80034840167,Comune di Bergamo,24122,BG,26.00,2026-04-01T00:00:00.000,gm_cimit_votive
45668343,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,302.49,2026-04-01T00:00:00.000,Tassa Auto
45668341,MOONITMMXXX,MOONEY S.P.A.,82000950160,Comune di Bonate Sopra,24040,BG,100.00,2026-04-01T00:00:00.000,in_violazione_cds
45668340,ABI02008,Unicredit S.p.A,80034840167,Comune di Bergamo,24122,BG,26.00,2026-04-01T00:00:00.000,gm_cimit_votive
45668339,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.70,2026-04-01T00:00:00.000,solleciti
45668338,ABI03069,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,280.61,2026-04-01T00:00:00.000,RL_BIL_PAGOPAPOST
45668337,ABI02008,Unicredit S.p.A,09321970965,ASST Santi Paolo e Carlo,20142,MI,25.00,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668336,BNLIITRR,Worldline,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,11.60,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668335,SATYLUL1,Satispay,09320530968,ASST Gaetano Pini CTO,20122,MI,36.00,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668334,ABI03069,Intesa Sanpaolo S.p.A,09320650964,ASST Melegnano e della Martesana,20070,MI,25.00,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668333,LB000484,Revolut Payments UAB,09322180960,ASST di Lodi,26900,LO,192.45,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668330,CIPBITMM,Nexi,04114380167,ASST di Bergamo Est,24068,BG,36.00,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668329,ABI05034,Banco BPM S.p.A.,02032910156,Comune di Novate Milanese,20026,MI,1289.42,2026-04-01T00:00:00.000,alloggipopolari
45668327,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,97.15,2026-04-01T00:00:00.000,RL_BIL_PAGOPAPOST
45668326,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,09322180960,ASST di Lodi,26900,LO,30.50,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668325,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,157.38,2026-04-01T00:00:00.000,Tassa Auto
45668324,ABI03069,Intesa Sanpaolo S.p.A,03775430980,ATS di Brescia,25124,BS,63.92,2026-04-01T00:00:00.000,ATS326_TICKET
45668323,BCITITMM,Intesa Sanpaolo S.p.A,00273580126,Comune di Gemonio,21036,VA,218.87,2026-04-01T00:00:00.000,in_violazione_cds
45668322,ABI02008,Unicredit S.p.A,00761890177,Comune di Brescia,25121,BS,29.40,2026-04-01T00:00:00.000,ts_sanamm
45668321,SATYLUL1,Satispay,80008750178,Provincia di Brescia,25121,BS,35.90,2026-04-01T00:00:00.000,os_verbali_pp
45668320,BNLIITRR,Worldline,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,25.00,2026-04-01T00:00:00.000,PRENOTA_SALUTE
45668319,CIPBITMM,Nexi,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,25.00,2026-04-01T00:00:00.000,PRENOTA_SALUTE
45668318,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,552.58,2026-04-01T00:00:00.000,Tassa Auto
45668316,ABI08430,CASSA RURALE ED ARTIGIANA DI CANTU' BCC SOC. COOP.,03622110132,ASST Lariana,22100,CO,45.00,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668315,CIPBITMM,Nexi,09321970965,ASST Santi Paolo e Carlo,20142,MI,152.00,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668314,ABI03069,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,36.00,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668313,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,147.14,2026-04-01T00:00:00.000,Tassa Auto
45668312,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,312.51,2026-04-01T00:00:00.000,Tassa Auto
45668311,BPMOIT22,BPER Banca S.p.A.,09319650967,ASST Ovest Milanese,20025,MI,17.90,2026-04-01T00:00:00.000,TICKET_SANITARIO
45668310,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,521.84,2026-04-01T00:00:00.000,Tassa Auto
45668309,BCITITMM,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,29.40,2026-04-01T00:00:00.000,ts_sanamm
45668308,BPMOIT22,BPER Banca S.p.A.,80050050154,Regione Lombardia,20124,MI,175.59,2026-04-01T00:00:00.000,Tassa Auto
