id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
47084680,ABI01030,Banca Monte dei Paschi di Siena,80005370137,Comune di Como,22100,CO,511.00,2026-04-30T00:00:00.000,TC_SERVIZI_CIMITERIALI
47084678,LB000484,Revolut Payments UAB,00297960197,Comune di Cremona,26100,CR,100.00,2026-04-30T00:00:00.000,app_retta_primaria
47084677,ABI02008,Unicredit S.p.A,00792720153,Comune di Garbagnate Milanese,20024,MI,120.34,2026-04-30T00:00:00.000,mg_violazioni_cds
47084676,BIC36019,American Express Payment Services,00309290120,Comune di Cavaria con Premezzo,21044,VA,55.00,2026-04-30T00:00:00.000,sc_servizisociali
47084675,ABI03296,Banca Fideuram,84507570152,Comune di Lodi,26900,LO,90.00,2026-04-30T00:00:00.000,ads_mensa_scolastica
47084674,WOLLNLB1,Worldpay BV,00417080132,Comune di Olgiate Comasco,22077,CO,108.00,2026-04-30T00:00:00.000,at_mensaprimaria
47084673,ABI03069,Intesa Sanpaolo S.p.A,85001870188,Comune di Vigevano,27029,PV,400.00,2026-04-30T00:00:00.000,gm_cimit_votive
47084672,ABI08386,CRA BINASCO - CREDITO COOPERATIVO S.C.,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,20.00,2026-04-30T00:00:00.000,ATS321_PREV_ALIM
47084671,ABI03069,Intesa Sanpaolo S.p.A,04114380167,ASST di Bergamo Est,24068,BG,35.10,2026-04-30T00:00:00.000,TICKET_SANITARIO
47084668,BCITITMM,Intesa Sanpaolo S.p.A,03622110132,ASST Lariana,22100,CO,152.00,2026-04-30T00:00:00.000,TICKET_SANITARIO
47084667,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,240.54,2026-04-30T00:00:00.000,Tassa Auto
47084666,ABI05034,Banco BPM S.p.A.,03510190121,ASST Valle Olona,21052,VA,166.85,2026-04-30T00:00:00.000,TICKET_SANITARIO
47084662,LB000484,Revolut Payments UAB,80008750178,Provincia di Brescia,25121,BS,136.10,2026-04-30T00:00:00.000,os_verbali_pp
47084661,ABI03069,Intesa Sanpaolo S.p.A,00792720153,Comune di Garbagnate Milanese,20024,MI,304.93,2026-04-30T00:00:00.000,mg_violazioni_cds
47084660,BCITITMM,Intesa Sanpaolo S.p.A,08691440153,Istituto Europeo di Oncologia S.r.l.,20141,MI,36.00,2026-04-30T00:00:00.000,TICKET_CUP_120
47084659,BCITITMM,Intesa Sanpaolo S.p.A,09320650964,ASST Melegnano e della Martesana,20070,MI,24.00,2026-04-30T00:00:00.000,TICKET_SANITARIO
47084658,ABI01030,Banca Monte dei Paschi di Siena,02481840201,ASST di Mantova,46100,MN,25.00,2026-04-30T00:00:00.000,TICKET_SANITARIO
47084657,SELBIT2B,Banca Sella S.p.A.,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,17.90,2026-04-30T00:00:00.000,TICKET_SANITARIO
47084656,SELBIT2B,Banca Sella S.p.A.,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,17.90,2026-04-30T00:00:00.000,TICKET_SANITARIO
47084655,BCITITMM,Intesa Sanpaolo S.p.A,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,182.00,2026-04-30T00:00:00.000,TICKET_SANITARIO
47084654,SATYLUL1,Satispay,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,252.00,2026-04-30T00:00:00.000,PRENOTA_SALUTE
47084653,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,192.76,2026-04-30T00:00:00.000,Tassa Auto
47084652,BCITITMM,Intesa Sanpaolo S.p.A,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,30.50,2026-04-30T00:00:00.000,TICKET_SANITARIO
47084651,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,133.39,2026-04-30T00:00:00.000,Tassa Auto
47084650,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,414.17,2026-04-30T00:00:00.000,RL_BIL_PAGOPAPOST
47084637,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,16.00,2026-04-30T00:00:00.000,MARCA_BOLLO_VIRTUALE_001
47084636,CIPBITMM,Nexi,80005370137,Comune di Como,22100,CO,51.40,2026-04-30T00:00:00.000,mg_violazioni_cds
47084635,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,209.03,2026-04-30T00:00:00.000,RL_BIL_PAGOPAPOST
