id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45965888,BCITITMM,Intesa Sanpaolo S.p.A,04793650583,Fondazione Don Carlo Gnocchi Onlus,20162,MI,36.00,2026-04-13T00:00:00.000,TICKET_CUP_114
45965887,SELBIT2B,Banca Sella S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.30,2026-04-13T00:00:00.000,solleciti
45965886,SELBIT2B,Banca Sella S.p.A.,09322180960,ASST di Lodi,26900,LO,28.00,2026-04-13T00:00:00.000,TICKET_SANITARIO
45965885,MOONITMMXXX,MOONEY S.P.A.,02613260187,ATS di Pavia,27100,PV,20.40,2026-04-13T00:00:00.000,ATS328_ALTRE_S
45965884,ABI03069,Intesa Sanpaolo S.p.A,80008750178,Provincia di Brescia,25121,BS,136.10,2026-04-13T00:00:00.000,os_verbali_pp
45965883,POSOIT22XXX,Banca Popolare di Sondrio,80005370137,Comune di Como,22100,CO,50.00,2026-04-13T00:00:00.000,td_diritti_art10
45965882,BPMOIT22,BPER Banca S.p.A.,00761890177,Comune di Brescia,25121,BS,39.40,2026-04-13T00:00:00.000,ts_sanamm
45965881,SELBIT2B,Banca Sella S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.04,2026-04-13T00:00:00.000,solleciti
45965880,CIPBITMM,Nexi,04114450168,ASST di Bergamo Ovest,24047,BG,36.00,2026-04-13T00:00:00.000,PRENOTA_SALUTE
45965879,ABI02008,Unicredit S.p.A,80050050154,Regione Lombardia,20124,MI,64.56,2026-04-13T00:00:00.000,Concessione regionale abilitazione caccia
45965873,BCITITMM,Intesa Sanpaolo S.p.A,09322180960,ASST di Lodi,26900,LO,25.00,2026-04-13T00:00:00.000,TICKET_SANITARIO
45965872,SELBIT2B,Banca Sella S.p.A.,09322180960,ASST di Lodi,26900,LO,23.20,2026-04-13T00:00:00.000,TICKET_SANITARIO
45965871,SELBIT2B,Banca Sella S.p.A.,01310880156,Comune di Abbiategrasso,20081,MI,278.95,2026-04-13T00:00:00.000,retteasilonido
45965870,ABI08324,BANCA CENTROPADANA CRED. COOP.,00297960197,Comune di Cremona,26100,CR,279.40,2026-04-13T00:00:00.000,vcds_fam
45965869,ABI03069,Intesa Sanpaolo S.p.A,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,17.90,2026-04-13T00:00:00.000,TICKET_SANITARIO
45965868,UNCRITMM,UniCredit S.p.A.,00761890177,Comune di Brescia,25121,BS,154.94,2026-04-13T00:00:00.000,mensascolasticaprimaria
45965867,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,16.00,2026-04-13T00:00:00.000,MARCA_BOLLO_VIRTUALE_001
45965866,LB000484,Revolut Payments UAB,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,25.00,2026-04-13T00:00:00.000,ASST924_BANDI
