id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45290920,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.90,2026-03-18T00:00:00.000,solleciti
45290919,BCITITMM,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,60.90,2026-03-18T00:00:00.000,ts_sanamm
45290918,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,437.37,2026-03-18T00:00:00.000,RL_BIL_PAGOPAPOST
45290917,ABI03069,Intesa Sanpaolo S.p.A,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,33.60,2026-03-18T00:00:00.000,TICKET_SANITARIO
45290916,PPAYITR1XXX,Postepay,09323530965,ASST Rhodense,20024,MI,33.60,2026-03-18T00:00:00.000,TICKET_SANITARIO
45290915,CIPBITMM,Nexi,02613260187,ATS di Pavia,27100,PV,3.20,2026-03-18T00:00:00.000,ATS328_ACC_ATTI
45290913,ABI05034,Banco BPM S.p.A.,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,7.00,2026-03-18T00:00:00.000,ATS321_VET_SCIA
45290912,PPAYITR1XXX,Postepay,09322180960,ASST di Lodi,26900,LO,25.40,2026-03-18T00:00:00.000,PRENOTA_SALUTE
45290911,BCITITMM,Intesa Sanpaolo S.p.A,09321970965,ASST Santi Paolo e Carlo,20142,MI,40.00,2026-03-18T00:00:00.000,TICKET_SANITARIO
45290910,CIPBITMM,Nexi,00297960197,Comune di Cremona,26100,CR,140.95,2026-03-18T00:00:00.000,app_retta_nido
45290909,BCITITMM,Intesa Sanpaolo S.p.A,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,20.00,2026-03-18T00:00:00.000,ASST926_CONC
45290908,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,80034840167,Comune di Bergamo,24122,BG,26.00,2026-03-18T00:00:00.000,gm_cimit_votive
45290901,BPMOIT22,BPER Banca S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.90,2026-03-18T00:00:00.000,solleciti
45290900,ABI03069,Intesa Sanpaolo S.p.A,09319690963,ASST Fatebenefratelli Sacco,20157,MI,282.00,2026-03-18T00:00:00.000,TICKET_SANITARIO
45290899,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,156.48,2026-03-18T00:00:00.000,Tassa Auto
45290898,SATYLUL1,Satispay,00430660134,Comune di Erba,22036,CO,300.00,2026-03-18T00:00:00.000,pd_mensascolastica
45290897,ABI03069,Intesa Sanpaolo S.p.A,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,107.00,2026-03-18T00:00:00.000,TICKET_SANITARIO
45290896,CIPBITMM,Nexi,88001190177,Comune di Gambara,25020,BS,9.20,2026-03-18T00:00:00.000,MENSA_RL
45290895,CIPBITMM,Nexi,00464720176,Comune di Castenedolo,25014,BS,41.00,2026-03-18T00:00:00.000,dt_trasportoscolastico
45290894,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,16.00,2026-03-18T00:00:00.000,MARCA_BOLLO_VIRTUALE_001
45290893,PPAYITR1XXX,Postepay,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,10.00,2026-03-18T00:00:00.000,ASST924_MENSA
45290877,BNLIITRR,Worldline,88001190177,Comune di Gambara,25020,BS,36.80,2026-03-18T00:00:00.000,MENSA_RL
45290876,CIPBITMM,Nexi,05017630152,ARIA S.p.A.,20154,MI,10.00,2026-03-18T00:00:00.000,CENED ricarica portafoglio
45290875,ABI08735,BANCA DEL TERRITORIO LOMBARDO S.C.,00760050179,Comune di Bedizzole,25081,BS,459.67,2026-03-18T00:00:00.000,os_avv_cds
45290874,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,231.30,2026-03-18T00:00:00.000,Tassa Auto
45290873,CIPBITMM,Nexi,03775660982,ASST del Garda,25015,BS,28.15,2026-03-18T00:00:00.000,TICKET_SANITARIO
45290872,BNLIITRR,Worldline,02481970206,ATS della Val Padana,46100,MN,20.00,2026-03-18T00:00:00.000,ATS327_SCIA_ALIM
45290871,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,20.00,2026-03-18T00:00:00.000,Tassa Auto
45290870,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,20.80,2026-03-18T00:00:00.000,Tassa Auto
45290869,ABI08735,BANCA DEL TERRITORIO LOMBARDO S.C.,80008750178,Provincia di Brescia,25121,BS,176.47,2026-03-18T00:00:00.000,os_verbali_pp
45290868,CIPBITMM,Nexi,88001190177,Comune di Gambara,25020,BS,36.40,2026-03-18T00:00:00.000,MENSA_RL
45290867,PPAYITR1XXX,Postepay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,1.10,2026-03-18T00:00:00.000,pedaggi
45290866,MOONITMMXXX,MOONEY S.P.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.30,2026-03-18T00:00:00.000,solleciti
