id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45794576,SATYLUL1,Satispay,09321970965,ASST Santi Paolo e Carlo,20142,MI,25.00,2026-04-06T00:00:00.000,TICKET_SANITARIO
45794575,BCITITMM,Intesa Sanpaolo S.p.A,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,25.00,2026-04-06T00:00:00.000,TICKET_SANITARIO
45794574,BPMOIT22,BPER Banca S.p.A.,80050050154,Regione Lombardia,20124,MI,23.00,2026-04-06T00:00:00.000,Licenza di Pesca
45794573,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,1.60,2026-04-06T00:00:00.000,pedaggi
45794572,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,228.24,2026-04-06T00:00:00.000,Tassa Auto
45794571,ABI03069,Intesa Sanpaolo S.p.A,02030880153,Comune di Monza,20900,MI,76.96,2026-04-06T00:00:00.000,pd_mensascolastica
45794570,ABI03069,Intesa Sanpaolo S.p.A,02030880153,Comune di Monza,20900,MI,76.96,2026-04-06T00:00:00.000,pd_mensascolastica
45794569,ABI03069,Intesa Sanpaolo S.p.A,02030880153,Comune di Monza,20900,MI,442.40,2026-04-06T00:00:00.000,pd_nido
45794568,ABI03069,Intesa Sanpaolo S.p.A,02030880153,Comune di Monza,20900,MI,464.78,2026-04-06T00:00:00.000,pd_nido
45794567,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,69.27,2026-04-06T00:00:00.000,Tassa Auto
45794566,POSOIT22XXX,Banca Popolare di Sondrio,04114370168,ASST Papa Giovanni XXIII,24127,BG,20.00,2026-04-06T00:00:00.000,ASST718_PARK
45794565,PASCITMM,Banca Monte dei Paschi di Siena,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,152.00,2026-04-06T00:00:00.000,TICKET_SANITARIO
45794564,SATYLUL1,Satispay,09319690963,ASST Fatebenefratelli Sacco,20157,MI,15.00,2026-04-06T00:00:00.000,ASST703_TASSACONCORSO
45794563,BPMOIT22,BPER Banca S.p.A.,85001810184,Comune di Garlasco,27026,PV,37.40,2026-04-06T00:00:00.000,in_violazione_cds
45794562,SELBIT2B,Banca Sella S.p.A.,09323530965,ASST Rhodense,20024,MI,10.00,2026-04-06T00:00:00.000,ASST706_BANDI
45794561,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,142.65,2026-04-06T00:00:00.000,Tassa Auto
45794560,ABI03069,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,270.26,2026-04-06T00:00:00.000,retteasilinido
45794559,BCITITMM,Intesa Sanpaolo S.p.A,09319650967,ASST Ovest Milanese,20025,MI,25.00,2026-04-06T00:00:00.000,TICKET_SANITARIO
45794598,ABI03069,Intesa Sanpaolo S.p.A,04114450168,ASST di Bergamo Ovest,24047,BG,17.90,2026-04-06T00:00:00.000,TICKET_SANITARIO
45794597,BCITITMM,Intesa Sanpaolo S.p.A,80005370137,Comune di Como,22100,CO,29.40,2026-04-06T00:00:00.000,mg_violazioni_cds
45794596,PPAYITR1XXX,Postepay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.20,2026-04-06T00:00:00.000,pedaggi
45794594,BCITITMM,Intesa Sanpaolo S.p.A,80005370137,Comune di Como,22100,CO,34.40,2026-04-06T00:00:00.000,mg_violazioni_cds
45794593,ABI03104,Deutsche Bank S.p.A.,00625920137,Comune di Bregnano,22070,CO,65.00,2026-04-06T00:00:00.000,dirsegatti
45794592,ABI03069,Intesa Sanpaolo S.p.A,80005370137,Comune di Como,22100,CO,28.70,2026-04-06T00:00:00.000,mg_violazioni_cds
45794591,ABI02008,Unicredit S.p.A,00828590158,Comune di San Donato Milanese,20097,MI,31.20,2026-04-06T00:00:00.000,TRIBTARIVIOLAZIONI
45794590,ABI03296,Banca Fideuram,00761890177,Comune di Brescia,25121,BS,239.52,2026-04-06T00:00:00.000,arc_cimiterialifissi
45794589,ABI03239,Intesa Sanpaolo Private Banking,04114370168,ASST Papa Giovanni XXIII,24127,BG,220.00,2026-04-06T00:00:00.000,ASST718_INT_DEG_LP
45794588,ABI03069,Intesa Sanpaolo S.p.A,09321970965,ASST Santi Paolo e Carlo,20142,MI,36.00,2026-04-06T00:00:00.000,TICKET_SANITARIO
45794587,ABI03069,Intesa Sanpaolo S.p.A,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,112.00,2026-04-06T00:00:00.000,TICKET_SANITARIO
45794586,POSOIT22XXX,Banca Popolare di Sondrio,80050050154,Regione Lombardia,20124,MI,340.56,2026-04-06T00:00:00.000,Tassa Auto
45794585,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.20,2026-04-06T00:00:00.000,solleciti
45794584,ABI03069,Intesa Sanpaolo S.p.A,00297960197,Comune di Cremona,26100,CR,34.00,2026-04-06T00:00:00.000,gm_cimit_votive
