id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
46730754,MOONITMMXXX,MOONEY S.P.A.,03622110132,ASST Lariana,22100,CO,11.60,2026-04-24T00:00:00.000,PRENOTA_SALUTE
46730753,ABI03069,Intesa Sanpaolo S.p.A,09319690963,ASST Fatebenefratelli Sacco,20157,MI,25.40,2026-04-24T00:00:00.000,TICKET_SANITARIO
46730752,BPMOIT22,BPER Banca S.p.A.,00761890177,Comune di Brescia,25121,BS,34.40,2026-04-24T00:00:00.000,ts_sanamm
46730751,MOONITMMXXX,MOONEY S.P.A.,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,186.00,2026-04-24T00:00:00.000,ASST721_ACCRIC_LIB
46730750,MOONITMMXXX,MOONEY S.P.A.,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,186.00,2026-04-24T00:00:00.000,ASST721_LIBPROF_AMB_STRU
46730749,BCITITMM,Intesa Sanpaolo S.p.A,09320650964,ASST Melegnano e della Martesana,20070,MI,36.00,2026-04-24T00:00:00.000,TICKET_SANITARIO
46730748,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,03622110132,ASST Lariana,22100,CO,25.00,2026-04-24T00:00:00.000,TICKET_SANITARIO
46730747,PPAYITR1XXX,Postepay,00855730172,Comune di Maclodio,25030,BS,42.50,2026-04-24T00:00:00.000,MENSA_RL
46730746,SATYLUL1,Satispay,01629350198,ASST di Crema,26013,CR,36.00,2026-04-24T00:00:00.000,TICKET_SANITARIO
46730745,CIPBITMM,Nexi,80005370137,Comune di Como,22100,CO,72.89,2026-04-24T00:00:00.000,mg_violazioni_cds
46730744,PPAYITR1XXX,Postepay,03622120131,ASST di Lecco,23900,LC,25.00,2026-04-24T00:00:00.000,TICKET_SANITARIO
46730743,ABI03069,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,60.90,2026-04-24T00:00:00.000,ts_sanamm
46730742,CIPBITMM,Nexi,09320420962,ASST Nord Milano,20099,MI,36.00,2026-04-24T00:00:00.000,PRENOTA_SALUTE
46730741,BCITITMM,Intesa Sanpaolo S.p.A,00232910166,Comune di Dalmine,24044,BG,121.10,2026-04-24T00:00:00.000,mg_violazioni_cds
46730740,ABI05034,Banco BPM S.p.A.,80005370137,Comune di Como,22100,CO,121.10,2026-04-24T00:00:00.000,mg_violazioni_cds
46730739,ABI03069,Intesa Sanpaolo S.p.A,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,10.00,2026-04-24T00:00:00.000,ASST924_BANDI
