id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
46074222,CIPBITMM,Nexi,84507570152,Comune di Lodi,26900,LO,52.20,2026-04-16T00:00:00.000,ads_mensa_scolastica
46074221,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,23.00,2026-04-16T00:00:00.000,Licenza di Pesca
46074220,PPAYITR1XXX,Postepay,02613080189,ASST di Pavia,27100,PV,132.00,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074219,ABI03015,FinecoBank Banca Fineco S.p.A.,09320650964,ASST Melegnano e della Martesana,20070,MI,42.00,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074218,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,23.00,2026-04-16T00:00:00.000,Licenza di Pesca
46074217,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,52.58,2026-04-16T00:00:00.000,Tassa Auto
46074216,CIPBITMM,Nexi,04114370168,ASST Papa Giovanni XXIII,24127,BG,25.00,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074215,ABI03032,Credito Emiliano SpA.,00846620177,Comune di Prevalle,25080,BS,48.40,2026-04-16T00:00:00.000,in_violazione_cds
46074214,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,191.54,2026-04-16T00:00:00.000,Tassa Auto
46074213,ABI03069,Intesa Sanpaolo S.p.A,03622110132,ASST Lariana,22100,CO,36.00,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074212,CIPBITMM,Nexi,02032910156,Comune di Novate Milanese,20026,MI,539.00,2026-04-16T00:00:00.000,pj_rettenido
46074202,ABI03069,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,29.40,2026-04-16T00:00:00.000,mg_violazioni_cds
46074201,ABI03069,Intesa Sanpaolo S.p.A,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,36.00,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074200,PPAYITR1XXX,Postepay,82000950160,Comune di Bonate Sopra,24040,BG,126.04,2026-04-16T00:00:00.000,in_violazione_cds
46074199,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,142.11,2026-04-16T00:00:00.000,Tassa Auto
46074198,CIPBITMM,Nexi,09323530965,ASST Rhodense,20024,MI,20.00,2026-04-16T00:00:00.000,ASST706_CP_CART_CLI
46074197,LB000484,Revolut Payments UAB,80005370137,Comune di Como,22100,CO,101.40,2026-04-16T00:00:00.000,mg_violazioni_cds
46074196,ABI03069,Intesa Sanpaolo S.p.A,02481970206,ATS della Val Padana,46100,MN,20.00,2026-04-16T00:00:00.000,ATS327_SCIA_ALIM
46074195,CIPBITMM,Nexi,03622120131,ASST di Lecco,23900,LC,36.00,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074194,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,196.29,2026-04-16T00:00:00.000,Tassa Auto
46074193,ABI03069,Intesa Sanpaolo S.p.A,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,36.00,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074192,CIPBITMM,Nexi,03775660982,ASST del Garda,25015,BS,36.00,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074190,CIPBITMM,Nexi,03510140126,ATS dell'Insubria,21100,VA,26.80,2026-04-16T00:00:00.000,ATS322_PREST_VET_CUP
46074189,CIPBITMM,Nexi,02030880153,Comune di Monza,20900,MI,282.18,2026-04-16T00:00:00.000,pd_nido
46074188,ABI03296,Banca Fideuram,00484670187,Comune di Vellezzo Bellini,27010,PV,132.99,2026-04-16T00:00:00.000,in_violazione_cds
46074161,BCITITMM,Intesa Sanpaolo S.p.A,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,142.00,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074160,ABI03296,Banca Fideuram,00484670187,Comune di Vellezzo Bellini,27010,PV,46.89,2026-04-16T00:00:00.000,in_violazione_cds
46074159,BPMOIT22,BPER Banca S.p.A.,02613080189,ASST di Pavia,27100,PV,17.80,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074158,CIPBITMM,Nexi,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,36.00,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074157,BCITITMM,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,73.59,2026-04-16T00:00:00.000,ts_sanamm
46074156,ABI03385,Isy Bank S.p.A.,80008750178,Provincia di Brescia,25121,BS,67.00,2026-04-16T00:00:00.000,os_verbali_pp
46074155,CIPBITMM,Nexi,03622120131,ASST di Lecco,23900,LC,25.00,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074154,MOONITMMXXX,MOONEY S.P.A.,00761890177,Comune di Brescia,25121,BS,270.00,2026-04-16T00:00:00.000,mensascolasticainfanzia
46074293,WOLLNLB1,Worldpay BV,00635680176,Comune di Capriolo,25031,BS,100.00,2026-04-16T00:00:00.000,pj_mensascolastica
46074292,ABI03069,Intesa Sanpaolo S.p.A,09320520969,ATS della Citta' Metropolitana di Milano,20122,MI,79.94,2026-04-16T00:00:00.000,ATS321_DIFF
46074291,ABI03069,Intesa Sanpaolo S.p.A,02481970206,ATS della Val Padana,46100,MN,40.20,2026-04-16T00:00:00.000,ATS327_LIB_VET
46074290,ABI03069,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,250.49,2026-04-16T00:00:00.000,retteasilinido
46074289,ABI02008,Unicredit S.p.A,00761890177,Comune di Brescia,25121,BS,98.49,2026-04-16T00:00:00.000,ts_sanamm
46074288,ABI03069,Intesa Sanpaolo S.p.A,04114380167,ASST di Bergamo Est,24068,BG,30.50,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074287,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,371.14,2026-04-16T00:00:00.000,RL_BIL_PAGOPAPOST
46074286,CIPBITMM,Nexi,05017630152,ARIA S.p.A.,20154,MI,120.00,2026-04-16T00:00:00.000,CENED ricarica portafoglio
46074284,ABI03069,Intesa Sanpaolo S.p.A,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,132.00,2026-04-16T00:00:00.000,TICKET_SANITARIO
46074283,BCITITMM,Intesa Sanpaolo S.p.A,83503550150,Comune di Rodano,20053,MI,50.00,2026-04-16T00:00:00.000,contr_vari
