id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
44879565,BCITITMM,Intesa Sanpaolo S.p.A,09319690963,ASST Fatebenefratelli Sacco,20157,MI,26.20,2026-03-03T00:00:00.000,TICKET_SANITARIO
44879564,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,315.05,2026-03-03T00:00:00.000,Tassa Auto
44879563,BIC36019,American Express Payment Services,80050050154,Regione Lombardia,20124,MI,167.12,2026-03-03T00:00:00.000,Tassa Auto
44879562,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,200.02,2026-03-03T00:00:00.000,Tassa Auto
44879561,ABI03069,Intesa Sanpaolo S.p.A,00232910166,Comune di Dalmine,24044,BG,39.00,2026-03-03T00:00:00.000,tari_ac
44879560,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,233.80,2026-03-03T00:00:00.000,Tassa Auto
44879559,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,17.90,2026-03-03T00:00:00.000,TICKET_SANITARIO
44879558,CIPBITMM,Nexi,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,20.00,2026-03-03T00:00:00.000,ASST924_MENSA
44879557,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,22.12,2026-03-03T00:00:00.000,Tassa Auto
44879556,BCITITMM,Intesa Sanpaolo S.p.A,09319650967,ASST Ovest Milanese,20025,MI,122.00,2026-03-03T00:00:00.000,TICKET_SANITARIO
44879555,ABI08386,CRA BINASCO - CREDITO COOPERATIVO S.C.,80050050154,Regione Lombardia,20124,MI,844.26,2026-03-03T00:00:00.000,Utenze idriche canone annuale
44879554,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,22.20,2026-03-03T00:00:00.000,Tassa Auto
44879553,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,52.18,2026-03-03T00:00:00.000,Tassa Auto
44879552,LB000484,Revolut Payments UAB,80008750178,Provincia di Brescia,25121,BS,44.40,2026-03-03T00:00:00.000,os_verbali_pp
44879551,ABI03062,Banca Mediolanum SpA,04114380167,ASST di Bergamo Est,24068,BG,40.00,2026-03-03T00:00:00.000,TICKET_SANITARIO
44879550,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,190.92,2026-03-03T00:00:00.000,Tassa Auto
44879549,PPAYITR1XXX,Postepay,00761890177,Comune di Brescia,25121,BS,642.23,2026-03-03T00:00:00.000,arc_spesecontrseggen
44879548,BCITITMM,Intesa Sanpaolo S.p.A,80008750178,Provincia di Brescia,25121,BS,54.20,2026-03-03T00:00:00.000,os_verbali_pp
44879547,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.60,2026-03-03T00:00:00.000,pedaggi
44879546,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,41.43,2026-03-03T00:00:00.000,Tassa Auto
44879544,UNCRITMM,UniCredit S.p.A.,82000950160,Comune di Bonate Sopra,24040,BG,136.45,2026-03-03T00:00:00.000,in_violazione_cds
44879543,BCITITMM,Intesa Sanpaolo S.p.A,80001070202,Provincia di Mantova,46100,MN,122.00,2026-03-03T00:00:00.000,teonline
44879542,BCITITMM,Intesa Sanpaolo S.p.A,03510190121,ASST Valle Olona,21052,VA,36.00,2026-03-03T00:00:00.000,PRENOTA_SALUTE
44879541,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,11.91,2026-03-03T00:00:00.000,solleciti
44879540,BCITITMM,Intesa Sanpaolo S.p.A,00761890177,Comune di Brescia,25121,BS,239.95,2026-03-03T00:00:00.000,mensascolasticaprimaria
