id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45320868,ABI03069,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,659.51,2026-03-19T00:00:00.000,RL_BIL_PAGOPAPOST
45320867,BCITITMM,Intesa Sanpaolo S.p.A,80001070202,Provincia di Mantova,46100,MN,247.00,2026-03-19T00:00:00.000,teonline
45320866,BCITITMM,Intesa Sanpaolo S.p.A,02481840201,ASST di Mantova,46100,MN,36.00,2026-03-19T00:00:00.000,PRENOTA_SALUTE
45320865,POSOIT22XXX,Banca Popolare di Sondrio,80050050154,Regione Lombardia,20124,MI,141.56,2026-03-19T00:00:00.000,Tassa Auto
45320864,ABI03296,Banca Fideuram,00368800173,Comune di Gardone Riviera,25083,BS,50.00,2026-03-19T00:00:00.000,dirittisegreteria
45320863,BCITITMM,Intesa Sanpaolo S.p.A,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,9.60,2026-03-19T00:00:00.000,TICKET_SANITARIO
45320862,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.30,2026-03-19T00:00:00.000,solleciti
45320861,ABI03015,FinecoBank Banca Fineco S.p.A.,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,36.00,2026-03-19T00:00:00.000,TICKET_SANITARIO
45320860,MOONITMMXXX,MOONEY S.P.A.,03510190121,ASST Valle Olona,21052,VA,10.00,2026-03-19T00:00:00.000,ASST711_BANDI
45320859,LB000484,Revolut Payments UAB,00182090183,A.L.E.R. DI PAVIA-LODI,27100,PV,174.44,2026-03-19T00:00:00.000,ALER_PV
45320858,UNCRITMM,UniCredit S.p.A.,80001070202,Provincia di Mantova,46100,MN,148.00,2026-03-19T00:00:00.000,teonline
45320857,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,22.39,2026-03-19T00:00:00.000,Tassa Auto
45320856,BNLIITRR,Worldline,03622110132,ASST Lariana,22100,CO,25.00,2026-03-19T00:00:00.000,TICKET_SANITARIO
