id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45785701,SELBIT2B,Banca Sella S.p.A.,02613080189,ASST di Pavia,27100,PV,36.00,2026-04-05T00:00:00.000,TICKET_SANITARIO
45785700,WOLLNLB1,Worldpay BV,00296180185,Comune di Pavia,27100,PV,100.00,2026-04-05T00:00:00.000,REFEZ
45785699,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,42.84,2026-04-05T00:00:00.000,Tassa Auto
45785698,ABI02008,Unicredit S.p.A,02348850989,Unione Dei Comuni della Valtenesi,25080,BS,29.40,2026-04-05T00:00:00.000,in_violazione_cds
45785697,PPAYITR1XXX,Postepay,09319690963,ASST Fatebenefratelli Sacco,20157,MI,15.00,2026-04-05T00:00:00.000,ASST703_TASSACONCORSO
45785696,ABI02008,Unicredit S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.30,2026-04-05T00:00:00.000,solleciti
45785695,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,103.88,2026-04-05T00:00:00.000,Tassa Auto
45785694,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.20,2026-04-05T00:00:00.000,solleciti
45785693,SATYLUL1,Satispay,09319690963,ASST Fatebenefratelli Sacco,20157,MI,26.20,2026-04-05T00:00:00.000,PRENOTA_SALUTE
45785664,WOLLNLB1,Worldpay BV,00297960197,Comune di Cremona,26100,CR,230.00,2026-04-05T00:00:00.000,app_retta_infanzia
45785663,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,56.76,2026-04-05T00:00:00.000,Tassa Auto
45785662,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,50.13,2026-04-05T00:00:00.000,Tassa Auto
45785661,WOLLNLB1,Worldpay BV,00297960197,Comune di Cremona,26100,CR,250.00,2026-04-05T00:00:00.000,app_retta_primaria
45785650,POSOIT22XXX,Banca Popolare di Sondrio,80050050154,Regione Lombardia,20124,MI,16.00,2026-04-05T00:00:00.000,MARCA_BOLLO_VIRTUALE_001
45785649,LB000484,Revolut Payments UAB,00761890177,Comune di Brescia,25121,BS,33.90,2026-04-05T00:00:00.000,ts_sanamm
45785639,BNLIITRR,Worldline,09319690963,ASST Fatebenefratelli Sacco,20157,MI,15.00,2026-04-05T00:00:00.000,ASST703_TASSACONCORSO
45785726,CIPBITMM,Nexi,00792720153,Comune di Garbagnate Milanese,20024,MI,159.31,2026-04-05T00:00:00.000,mg_violazioni_cds
45785725,POSOIT22XXX,Banca Popolare di Sondrio,04114370168,ASST Papa Giovanni XXIII,24127,BG,25.00,2026-04-05T00:00:00.000,TICKET_SANITARIO
45785724,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,242.30,2026-04-05T00:00:00.000,Tassa Auto
45785723,MOONITMMXXX,MOONEY S.P.A.,00115260143,Comune di Samolaco,22027,SO,80.00,2026-04-05T00:00:00.000,TASS_002
45785722,BCITITMM,Intesa Sanpaolo S.p.A,00115260143,Comune di Samolaco,22027,SO,99.00,2026-04-05T00:00:00.000,refezionescolastica
45785721,CIPBITMM,Nexi,00115260143,Comune di Samolaco,22027,SO,450.00,2026-04-05T00:00:00.000,refezionescolastica
45785720,ABI03069,Intesa Sanpaolo S.p.A,00553860172,Comune di Gargnano,25084,BS,100.00,2026-04-05T00:00:00.000,dirittisegreteria
45785719,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,37.59,2026-04-05T00:00:00.000,Tassa Auto
45785717,CIPBITMM,Nexi,80008750178,Provincia di Brescia,25121,BS,44.40,2026-04-05T00:00:00.000,os_verbali_pp
45785716,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,8.60,2026-04-05T00:00:00.000,solleciti
45785715,ABI03385,Isy Bank S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,9.80,2026-04-05T00:00:00.000,solleciti
45785713,ABI03385,Isy Bank S.p.A.,86502820151,Comune di Pero,20016,MI,105.47,2026-04-05T00:00:00.000,mg_violazioni_cds
45785711,CIPBITMM,Nexi,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,25.00,2026-04-05T00:00:00.000,TICKET_SANITARIO
45785709,SELBIT2B,Banca Sella S.p.A.,84503580155,Comune di Mediglia,20060,MI,35.00,2026-04-05T00:00:00.000,TB_RIFIUTI
45785708,ABI03069,Intesa Sanpaolo S.p.A,84507570152,Comune di Lodi,26900,LO,110.00,2026-04-05T00:00:00.000,ads_servsocioeduc
45785707,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,2.10,2026-04-05T00:00:00.000,pedaggi
45785706,ABI03069,Intesa Sanpaolo S.p.A,03510190121,ASST Valle Olona,21052,VA,154.00,2026-04-05T00:00:00.000,ASST711_LIB_PREST
45785705,ABI03069,Intesa Sanpaolo S.p.A,03700710126,Comune di Cadrezzate con Osmate,21062,VA,27.00,2026-04-05T00:00:00.000,SP_TRASPORTO_SCOLASTICO
45785704,BCITITMM,Intesa Sanpaolo S.p.A,09319690963,ASST Fatebenefratelli Sacco,20157,MI,15.00,2026-04-05T00:00:00.000,ASST703_TASSACONCORSO
45785703,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,127.17,2026-04-05T00:00:00.000,Tassa Auto
45785702,ABI03069,Intesa Sanpaolo S.p.A,03700710126,Comune di Cadrezzate con Osmate,21062,VA,34.40,2026-04-05T00:00:00.000,SS_MENSE
45785921,ABI08393,C.R.A. DI BORGO SAN GIACOMO,00850450172,Comune di Orzinuovi,25034,BS,29.40,2026-04-05T01:00:00.000,in_violazione_cds
45785919,LB000484,Revolut Payments UAB,80050050154,Regione Lombardia,20124,MI,23.00,2026-04-05T01:00:00.000,Licenza di Pesca
45785917,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,181.40,2026-04-05T01:00:00.000,Tassa Auto
45785889,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,162.54,2026-04-05T01:00:00.000,Tassa Auto
45785888,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,16.00,2026-04-05T01:00:00.000,MARCA_BOLLO_VIRTUALE_001
45785887,ABI02008,Unicredit S.p.A,03775430980,ATS di Brescia,25124,BS,196.68,2026-04-05T01:00:00.000,ATS326_TICKET
45785735,CIPBITMM,Nexi,03775110988,ASST Degli Spedali Civili di Brescia,25123,BS,36.00,2026-04-05T01:00:00.000,TICKET_SANITARIO
45785734,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,23.00,2026-04-05T01:00:00.000,Licenza di Pesca
45785732,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,190.74,2026-04-05T01:00:00.000,Tassa Auto
45785731,SELBIT2B,Banca Sella S.p.A.,80050050154,Regione Lombardia,20124,MI,20.39,2026-04-05T01:00:00.000,Tassa Auto
45785729,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,282.02,2026-04-05T01:00:00.000,RL_BIL_PAGOPAPOST
45785728,ABI08453,BANCA DI CREDITO COOPERATIVO DI MILANO S.c.,00432060135,Comune di Cernobbio,22012,CO,51.80,2026-04-05T01:00:00.000,mg_violazioni_cds
45786018,ABI03069,Intesa Sanpaolo S.p.A,80005370137,Comune di Como,22100,CO,101.40,2026-04-05T01:00:00.000,mg_violazioni_cds
