id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
44910434,ABI02008,Unicredit S.p.A,02575310202,Comune di Borgocarbonara,46021,MN,30.00,2026-03-04T00:00:00.000,dirittivari
44910433,WOLLNLB1,Worldpay BV,82001750130,Comune di Lurago D'erba,22040,CO,100.00,2026-03-04T00:00:00.000,pj_mensascolastica
44910432,ABI01030,Banca Monte dei Paschi di Siena,00761890177,Comune di Brescia,25121,BS,174.04,2026-03-04T00:00:00.000,retteasilinido
44910431,PPAYITR1XXX,Postepay,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.40,2026-03-04T00:00:00.000,pedaggi
44910430,LB000484,Revolut Payments UAB,80005370137,Comune di Como,22100,CO,39.90,2026-03-04T00:00:00.000,meg_preavvisi_cds
44910429,MOONITMMXXX,MOONEY S.P.A.,03510190121,ASST Valle Olona,21052,VA,25.00,2026-03-04T00:00:00.000,PRENOTA_SALUTE
44910428,BCITITMM,Intesa Sanpaolo S.p.A,04114380167,ASST di Bergamo Est,24068,BG,17.55,2026-03-04T00:00:00.000,TICKET_SANITARIO
44910427,ABI03069,Intesa Sanpaolo S.p.A,03510190121,ASST Valle Olona,21052,VA,17.90,2026-03-04T00:00:00.000,TICKET_SANITARIO
44910426,PPAYITR1XXX,Postepay,02348850989,Unione Dei Comuni della Valtenesi,25080,BS,29.40,2026-03-04T00:00:00.000,in_violazione_cds
44910425,PPAYITR1XXX,Postepay,02348850989,Unione Dei Comuni della Valtenesi,25080,BS,29.40,2026-03-04T00:00:00.000,in_violazione_cds
44910424,PPAYITR1XXX,Postepay,02348850989,Unione Dei Comuni della Valtenesi,25080,BS,39.20,2026-03-04T00:00:00.000,in_violazione_cds
44910423,ABI05034,Banco BPM S.p.A.,80005370137,Comune di Como,22100,CO,79.51,2026-03-04T00:00:00.000,meg_violazioni_cds
44910422,CIPBITMM,Nexi,03622120131,ASST di Lecco,23900,LC,11.60,2026-03-04T00:00:00.000,TICKET_SANITARIO
44910421,PPAYITR1XXX,Postepay,02348850989,Unione Dei Comuni della Valtenesi,25080,BS,116.90,2026-03-04T00:00:00.000,in_violazione_cds
