id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45166444,ABI08928,Banca di Credito Cooperativo del Carso - Società cooperativa,05017630152,ARIA S.p.A.,20154,MI,170.00,2026-03-13T00:00:00.000,CENED ricarica portafoglio
45166443,MOONITMMXXX,MOONEY S.P.A.,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,25.00,2026-03-13T00:00:00.000,TICKET_SANITARIO
45166442,PPAYITR1XXX,Postepay,80050050154,Regione Lombardia,20124,MI,212.57,2026-03-13T00:00:00.000,Tassa Auto
45166441,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,57.39,2026-03-13T00:00:00.000,Tassa Auto
45166440,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,380.48,2026-03-13T00:00:00.000,Tassa Auto
45166439,ABI08440,BCC DI CARATE BRIANZA,80034840167,Comune di Bergamo,24122,BG,116.00,2026-03-13T00:00:00.000,gm_polizia_mort
45166438,BCITITMM,Intesa Sanpaolo S.p.A,03510050127,ASST Dei Sette Laghi,21100,VA,10.00,2026-03-13T00:00:00.000,ASST710_BANDI
45166437,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,199.80,2026-03-13T00:00:00.000,Tassa Auto
45166436,CIPBITMM,Nexi,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.90,2026-03-13T00:00:00.000,solleciti
45166435,PPAYITR1XXX,Postepay,80050050154,Regione Lombardia,20124,MI,391.10,2026-03-13T00:00:00.000,Tassa Auto
45166434,SATYLUL1,Satispay,02481840201,ASST di Mantova,46100,MN,28.00,2026-03-13T00:00:00.000,TICKET_SANITARIO
45166433,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,206.82,2026-03-13T00:00:00.000,Tassa Auto
45166432,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,242.68,2026-03-13T00:00:00.000,Tassa Auto
45166431,SATYLUL1,Satispay,09322180960,ASST di Lodi,26900,LO,10.00,2026-03-13T00:00:00.000,ASST709_CONCORSI
45166430,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,176.81,2026-03-13T00:00:00.000,Tassa Auto
45166429,CIPBITMM,Nexi,03622120131,ASST di Lecco,23900,LC,25.40,2026-03-13T00:00:00.000,TICKET_SANITARIO
45166428,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,191.87,2026-03-13T00:00:00.000,Tassa Auto
45166427,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,81.98,2026-03-13T00:00:00.000,Tassa Auto
45166426,ABI08430,CASSA RURALE ED ARTIGIANA DI CANTU' BCC SOC. COOP.,80005370137,Comune di Como,22100,CO,33.40,2026-03-13T00:00:00.000,meg_preavvisi_cds
45166425,WOLLNLB1,Worldpay BV,03510190121,ASST Valle Olona,21052,VA,10.00,2026-03-13T00:00:00.000,ASST711_BANDI
45166424,BCITITMM,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,7.49,2026-03-13T00:00:00.000,solleciti
45166422,PPAYITR1XXX,Postepay,00670290162,Comune di Pagazzano,24040,BG,30.00,2026-03-13T00:00:00.000,app_mensaprimaria
45166421,CIPBITMM,Nexi,80005370137,Comune di Como,22100,CO,50.00,2026-03-13T00:00:00.000,td_diritti_art10
45166420,MOONITMMXXX,MOONEY S.P.A.,00424960136,Comune di Inverigo,22044,CO,20.00,2026-03-13T00:00:00.000,app_mensascolastica
45166419,PPAYITR1XXX,Postepay,00670290162,Comune di Pagazzano,24040,BG,30.00,2026-03-13T00:00:00.000,app_mensaprimaria
45166418,ABI08440,BCC DI CARATE BRIANZA,00761890177,Comune di Brescia,25121,BS,34.40,2026-03-13T00:00:00.000,ts_sanamm
45166417,SELBIT2B,Banca Sella S.p.A.,04114370168,ASST Papa Giovanni XXIII,24127,BG,17.90,2026-03-13T00:00:00.000,TICKET_SANITARIO
45166416,MOONITMMXXX,MOONEY S.P.A.,00424960136,Comune di Inverigo,22044,CO,20.00,2026-03-13T00:00:00.000,app_mensascolastica
45166415,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,23.00,2026-03-13T00:00:00.000,Licenza di Pesca
45166414,ABI02008,Unicredit S.p.A,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,36.00,2026-03-13T00:00:00.000,TICKET_SANITARIO
45166413,CIPBITMM,Nexi,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,17.90,2026-03-13T00:00:00.000,TICKET_SANITARIO
45166412,PPAYITR1XXX,Postepay,00670290162,Comune di Pagazzano,24040,BG,30.00,2026-03-13T00:00:00.000,app_mensainfanzia
45166411,ABI02008,Unicredit S.p.A,02481970206,ATS della Val Padana,46100,MN,8.54,2026-03-13T00:00:00.000,ATS327_LIB_VET
45166410,ABI08735,BANCA DEL TERRITORIO LOMBARDO S.C.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,5.30,2026-03-13T00:00:00.000,solleciti
45166409,UNCRITMM,UniCredit S.p.A.,00711250134,Comune di Orsenigo,22030,CO,35.00,2026-03-13T00:00:00.000,dirittivari
45166408,PPAYITR1XXX,Postepay,09320530968,ASST Gaetano Pini CTO,20122,MI,15.00,2026-03-13T00:00:00.000,ASST704_BANDI
45166407,CIPBITMM,Nexi,80008750178,Provincia di Brescia,25121,BS,50.00,2026-03-13T00:00:00.000,ssoneriistruttoria
45166406,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,22.30,2026-03-13T00:00:00.000,Tassa Auto
45166405,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,16.00,2026-03-13T00:00:00.000,MARCA_BOLLO_VIRTUALE_001
45166404,BCITITMM,Intesa Sanpaolo S.p.A,09319690963,ASST Fatebenefratelli Sacco,20157,MI,15.00,2026-03-13T00:00:00.000,ASST703_TASSACONCORSO
45166403,ABI01030,Banca Monte dei Paschi di Siena,00761890177,Comune di Brescia,25121,BS,33.90,2026-03-13T00:00:00.000,ts_sanamm
45166402,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,6.40,2026-03-13T00:00:00.000,solleciti
45166401,BPMOIT22,BPER Banca S.p.A.,00761890177,Comune di Brescia,25121,BS,29.40,2026-03-13T00:00:00.000,ts_sanamm
45166395,BCITITMM,Intesa Sanpaolo S.p.A,09319650967,ASST Ovest Milanese,20025,MI,36.00,2026-03-13T00:00:00.000,TICKET_SANITARIO
