id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45349913,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,25.00,2026-03-20T00:00:00.000,Tassa Auto
45349912,ABI03250,Banca Euromobiliare SpA,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,152.00,2026-03-20T00:00:00.000,TICKET_SANITARIO
45349911,MOONITMMXXX,MOONEY S.P.A.,04114370168,ASST Papa Giovanni XXIII,24127,BG,25.00,2026-03-20T00:00:00.000,TICKET_SANITARIO
45349910,ABI03385,Isy Bank S.p.A.,09322180960,ASST di Lodi,26900,LO,25.00,2026-03-20T00:00:00.000,TICKET_SANITARIO
45349909,WOLLNLB1,Worldpay BV,09320420962,ASST Nord Milano,20099,MI,25.00,2026-03-20T00:00:00.000,PRENOTA_SALUTE
45349908,CIPBITMM,Nexi,03510190121,ASST Valle Olona,21052,VA,18.40,2026-03-20T00:00:00.000,TICKET_SANITARIO
45349907,CIPBITMM,Nexi,84507570152,Comune di Lodi,26900,LO,29.40,2026-03-20T00:00:00.000,mg_violazioni_cds
45349906,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,00466390184,Comune di San Martino Siccomario,27028,PV,138.87,2026-03-20T00:00:00.000,in_violazione_cds
45349905,BPMOIT22,BPER Banca S.p.A.,00432060135,Comune di Cernobbio,22012,CO,60.90,2026-03-20T00:00:00.000,mg_violazioni_cds
45349904,CIPBITMM,Nexi,09323530965,ASST Rhodense,20024,MI,25.00,2026-03-20T00:00:00.000,TICKET_SANITARIO
45349901,ABI02008,Unicredit S.p.A,13055640158,Centro Cardiologico Monzino S.p.a.,20138,MI,33.60,2026-03-20T00:00:00.000,TICKET_CUP_125
45349898,SELBIT2B,Banca Sella S.p.A.,85001810184,Comune di Garlasco,27026,PV,20.00,2026-03-20T00:00:00.000,sm_cu_mp
45349897,CIPBITMM,Nexi,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,1.10,2026-03-20T00:00:00.000,pedaggi
45349896,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,96.75,2026-03-20T00:00:00.000,Tassa Auto
