id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
46112358,BCITITMM,Intesa Sanpaolo S.p.A,02030880153,Comune di Monza,20900,MI,400.00,2026-04-17T00:00:00.000,pd_mensascolastica
46112357,PPAYITR1XXX,Postepay,00635680176,Comune di Capriolo,25031,BS,72.50,2026-04-17T00:00:00.000,pj_mensascolastica
46112356,SELBIT2B,Banca Sella S.p.A.,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,25.00,2026-04-17T00:00:00.000,TICKET_SANITARIO
46112355,BPMOIT22,BPER Banca S.p.A.,00761890177,Comune di Brescia,25121,BS,117.00,2026-04-17T00:00:00.000,ts_sanamm
46112354,CIPBITMM,Nexi,09319690963,ASST Fatebenefratelli Sacco,20157,MI,36.00,2026-04-17T00:00:00.000,PRENOTA_SALUTE
46112353,CIPBITMM,Nexi,84507570152,Comune di Lodi,26900,LO,65.00,2026-04-17T00:00:00.000,dirsegreteria
46112352,PPAYITR1XXX,Postepay,00451040182,Comune di Casteggio,27045,PV,500.00,2026-04-17T00:00:00.000,deposito_cauzionale
46112351,ABI08340,Cassa Padana Banca di Credito Cooperativo - Società cooperativa,00297960197,Comune di Cremona,26100,CR,57.00,2026-04-17T00:00:00.000,is_impsogg
46112350,UNCRITMM,UniCredit S.p.A.,80001070202,Provincia di Mantova,46100,MN,148.00,2026-04-17T00:00:00.000,teonline
46112349,BPMOIT22,BPER Banca S.p.A.,00324770189,Comune di Mortara,27036,PV,50.00,2026-04-17T00:00:00.000,dirittisegreteria
46112348,ABI08340,Cassa Padana Banca di Credito Cooperativo - Società cooperativa,00297960197,Comune di Cremona,26100,CR,24.00,2026-04-17T00:00:00.000,is_impsogg
46112347,ABI08440,BCC DI CARATE BRIANZA,04114370168,ASST Papa Giovanni XXIII,24127,BG,92.00,2026-04-17T00:00:00.000,TICKET_SANITARIO
46112346,ABI03069,Intesa Sanpaolo S.p.A,80018470171,Comune di Roncadelle,25030,BS,106.52,2026-04-17T00:00:00.000,mg_scuola_nido_cedepp
