id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
45278936,ABI03069,Intesa Sanpaolo S.p.A,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,8.60,2026-03-17T13:00:00.000,solleciti
45278935,LB000484,Revolut Payments UAB,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,8.60,2026-03-17T13:00:00.000,solleciti
45278934,ABI03069,Intesa Sanpaolo S.p.A,80008750178,Provincia di Brescia,25121,BS,40.00,2026-03-17T13:00:00.000,spistr_naviginterna
45278933,BAPPIT21,Banca Popolare di Milano SpA,09323530965,ASST Rhodense,20024,MI,17.90,2026-03-17T13:00:00.000,TICKET_SANITARIO
45278932,ABI08735,BANCA DEL TERRITORIO LOMBARDO S.C.,00761890177,Comune di Brescia,25121,BS,16.00,2026-03-17T13:00:00.000,arc_polbollovirt
45278931,ABI36964,BCC PAY S.p.A.,09319650967,ASST Ovest Milanese,20025,MI,202.00,2026-03-17T13:00:00.000,TICKET_SANITARIO
45278929,BPPIITRRXXX,Poste Italiane S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,12.60,2026-03-17T13:00:00.000,pedaggi
45278928,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,00303490189,Fondazione IRCCS Policlinico S.Matteo,27100,PV,25.00,2026-03-17T13:00:00.000,TICKET_SANITARIO
45278927,ABI02008,Unicredit S.p.A,00453990178,Comune di Bagnolo Mella,25021,BS,92.70,2026-03-17T13:00:00.000,dt_mensascolastica
45278926,ABI03069,Intesa Sanpaolo S.p.A,03366130155,Comune di Arese,20044,MI,2078.40,2026-03-17T13:00:00.000,mg_impiantisport
45278925,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,182.15,2026-03-17T13:00:00.000,RL_BIL_PAGOPAPOST
45278924,ABI03032,Credito Emiliano SpA.,00297960197,Comune di Cremona,26100,CR,593.00,2026-03-17T13:00:00.000,is_cupperm
45278923,MOONITMMXXX,MOONEY S.P.A.,80050050154,Regione Lombardia,20124,MI,210.42,2026-03-17T13:00:00.000,RL_BIL_PAGOPAPOST
45278922,ABI03069,Intesa Sanpaolo S.p.A,03510190121,ASST Valle Olona,21052,VA,154.00,2026-03-17T13:00:00.000,ASST711_LIB_PREST
45278921,BAPPIT21,Banca Popolare di Milano SpA,09323530965,ASST Rhodense,20024,MI,17.90,2026-03-17T13:00:00.000,TICKET_SANITARIO
45278920,CIPBITMM,Nexi,09323530965,ASST Rhodense,20024,MI,10.00,2026-03-17T13:00:00.000,ASST706_CP_CART_CLI
45278919,BAPPIT21,Banca Popolare di Milano SpA,09323530965,ASST Rhodense,20024,MI,91.00,2026-03-17T13:00:00.000,TICKET_SANITARIO
45278918,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,389.31,2026-03-17T13:00:00.000,Tassa Auto
45278917,POSOIT22XXX,Banca Popolare di Sondrio,04114450168,ASST di Bergamo Ovest,24047,BG,25.70,2026-03-17T13:00:00.000,TICKET_SANITARIO
45278916,MOONITMMXXX,MOONEY S.P.A.,09319650967,ASST Ovest Milanese,20025,MI,84.30,2026-03-17T13:00:00.000,TICKET_SANITARIO
45278915,ABI36964,BCC PAY S.p.A.,09319650967,ASST Ovest Milanese,20025,MI,102.00,2026-03-17T13:00:00.000,TICKET_SANITARIO
45278914,ABI02008,Unicredit S.p.A,00453990178,Comune di Bagnolo Mella,25021,BS,87.55,2026-03-17T13:00:00.000,dt_mensascolastica
45278913,BPMOIT22,BPER Banca S.p.A.,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,4.60,2026-03-17T13:00:00.000,solleciti
