id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
44843690,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,20.37,2026-03-02T00:00:00.000,Tassa Auto
44843689,SATYLUL1,Satispay,80018630170,Comune di Poncarale,25020,BS,103.00,2026-03-02T00:00:00.000,sm_cu_mp
44843688,MOONITMMXXX,MOONEY S.P.A.,02032910156,Comune di Novate Milanese,20026,MI,39.00,2026-03-02T00:00:00.000,in_violazione_cds
44843687,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,345.45,2026-03-02T00:00:00.000,Tassa Auto
44843686,BCITITMM,Intesa Sanpaolo S.p.A,01668320151,Fondazione IRCCS Istituto Neurologico Besta,20133,MI,12.91,2026-03-02T00:00:00.000,ASST923_TASSA_CONCORSO
44843685,WOLLNLB1,Worldpay BV,12698710964,Fondazione IRCCS San Gerardo dei Tintori di Monza,20900,MB,26.20,2026-03-02T00:00:00.000,PRENOTA_SALUTE
44843684,ABI36080,Admiral Pay IP S.r.l.,80008750178,Provincia di Brescia,25121,BS,221.79,2026-03-02T00:00:00.000,os_verbali_pp
44843683,ABI36080,Admiral Pay IP S.r.l.,80008750178,Provincia di Brescia,25121,BS,35.90,2026-03-02T00:00:00.000,os_verbali_pp
44843682,CIPBITMM,Nexi,02613080189,ASST di Pavia,27100,PV,30.50,2026-03-02T00:00:00.000,PRENOTA_SALUTE
44843681,SELBIT2B,Banca Sella S.p.A.,00467720181,Comune di Stradella,27049,PV,10.00,2026-03-02T00:00:00.000,mensascolastica
44843680,ABI36080,Admiral Pay IP S.r.l.,80008750178,Provincia di Brescia,25121,BS,35.90,2026-03-02T00:00:00.000,os_verbali_pp
44843679,ABI36080,Admiral Pay IP S.r.l.,82000950160,Comune di Bonate Sopra,24040,BG,171.35,2026-03-02T00:00:00.000,in_violazione_cds
44843678,ABI36080,Admiral Pay IP S.r.l.,00761890177,Comune di Brescia,25121,BS,126.10,2026-03-02T00:00:00.000,ts_sanamm
44843677,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,21.20,2026-03-02T00:00:00.000,Tassa Auto
44843676,ABI36080,Admiral Pay IP S.r.l.,80008750178,Provincia di Brescia,25121,BS,35.90,2026-03-02T00:00:00.000,os_verbali_pp
44843675,BCITITMM,Intesa Sanpaolo S.p.A,09323530965,ASST Rhodense,20024,MI,36.00,2026-03-02T00:00:00.000,TICKET_SANITARIO
44843674,SATYLUL1,Satispay,00417080132,Comune di Olgiate Comasco,22077,CO,54.00,2026-03-02T00:00:00.000,at_mensaprimaria
44843673,PPAYITR1XXX,Postepay,04724150968,Fondazione IRCCS Ca Granda Ospedale Maggiore Policlinico,20122,MI,36.00,2026-03-02T00:00:00.000,TICKET_SANITARIO
44843672,SELBIT2B,Banca Sella S.p.A.,00467720181,Comune di Stradella,27049,PV,10.00,2026-03-02T00:00:00.000,mensascolastica
44843671,POSOIT22XXX,Banca Popolare di Sondrio,02030880153,Comune di Monza,20900,MI,35.00,2026-03-02T00:00:00.000,accessoattiedilizia
44843670,BCITITMM,Intesa Sanpaolo S.p.A,80050050154,Regione Lombardia,20124,MI,22.04,2026-03-02T00:00:00.000,Tassa Auto
44843669,ABI08440,BCC DI CARATE BRIANZA,00649470176,Comune di Ponte di Legno,25056,BS,278.98,2026-03-02T00:00:00.000,SERVIZIO_IDRICO_RL
44843668,SATYLUL1,Satispay,80050050154,Regione Lombardia,20124,MI,170.28,2026-03-02T00:00:00.000,Tassa Auto
44843667,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,198.66,2026-03-02T00:00:00.000,Tassa Auto
44843666,CIPBITMM,Nexi,00467720181,Comune di Stradella,27049,PV,20.00,2026-03-02T00:00:00.000,mensascolastica
44843665,BCITITMM,Intesa Sanpaolo S.p.A,03510050127,ASST Dei Sette Laghi,21100,VA,36.00,2026-03-02T00:00:00.000,TICKET_SANITARIO
44843664,ABI08440,BCC DI CARATE BRIANZA,00649470176,Comune di Ponte di Legno,25056,BS,144.10,2026-03-02T00:00:00.000,SERVIZIO_IDRICO_RL
44843663,SELBIT2B,Banca Sella S.p.A.,80005370137,Comune di Como,22100,CO,86.70,2026-03-02T00:00:00.000,meg_preavvisi_cds
44843662,CIPBITMM,Nexi,00761890177,Comune di Brescia,25121,BS,135.12,2026-03-02T00:00:00.000,mensascolasticaprimaria
44843659,WOLLNLB1,Worldpay BV,80050050154,Regione Lombardia,20124,MI,435.19,2026-03-02T00:00:00.000,Tassa Auto
44843658,CIPBITMM,Nexi,03510190121,ASST Valle Olona,21052,VA,36.00,2026-03-02T00:00:00.000,TICKET_SANITARIO
44843657,CIPBITMM,Nexi,82000950160,Comune di Bonate Sopra,24040,BG,819.55,2026-03-02T00:00:00.000,in_violazione_cds
44843656,PPAYITR1XXX,Postepay,80050050154,Regione Lombardia,20124,MI,88.93,2026-03-02T00:00:00.000,Tassa Auto
